hhid,own_cattle,herd_preselected,hecon_hh_preselected
80150,yes,yes,yes
30114,no,no,yes
67013,no,no,yes
67054,no,no,yes
95179,no,no,yes
80178,no,no,yes
77017,no,no,yes
50133,no,no,yes
80183,no,no,yes
77251,no,no,yes
50040,no,no,yes
77242,no,no,yes
15066,yes,yes,yes
15012,yes,yes,yes
67046,no,no,yes
45105,yes,yes,yes
91001,no,no,yes
62019,no,no,yes
88368,no,no,yes
88444,no,no,yes
64021,no,no,yes
62060,no,no,yes
54019,no,no,yes
54044,no,no,yes
88325,no,no,yes
88428,no,no,yes
88288,no,no,yes
29095,yes,yes,yes
5023,yes,yes,yes
29110,no,no,yes
